package Sundance::rurban::2024; # -*- perl -*-
#!/usr/bin/perl
# Sundance 2024 Critics Ratings, 18.1.2024 - 28.1.
# {'A+' => 10,  'A' => 9,   'A-' => 8,
#  'B+' => 7,   'B' => 6,   'B-' => 5,
#  'C+' => 4,   'C' => 3,   'C-' => 2,
#  'D+' => 1.5, 'D' => 1,   'D-' => 1,
#  'E+' => 0.5, 'E' => 0.5, 'E-' => 0.5,
#  'F+' => 0,   'F' => 0,   'F-' => 0};
# SLCWeekly: 0-4stars:
# 0.5 - 1.25, 1 - 2.5, 1.5 - 3.75, 2 -> 5, 2.5 - 6.25, 3 - 7.5, 3.5 - 8.75, 4 - 10

use utf8;
our $DATA= <<'EOF';

U.S. DRAMATIC COMPETITION

"Between the Temples" (Nathan Silver) [U.S. Dramatic]
 — A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student. Cast: Jason Schwartzman, Carol Kane, Dolly de Leon, Caroline Aaron, Robert Smigel, Madeline Weinstein. World Premiere. Available online for Public.

Katie Skelly        5
Ricky Tydus         5
Marco Cerritos      5
Quinnifer           5
David Ehrlich       5
Patrick_K           5
gabbysmith13        5
Benjamin Lee        5
Li Lai              5
BrighamTaylor       5
Javi Hernandez      4   https://letterboxd.com/javiwatchi/film/love-me-2024/
Minah Worley _Oh_   4
ajstellaa           4
tee_philo           4
hannahsperling      4   https://letterboxd.com/hannahsperling/film/love-me-2024/
Jake_J              4
Matt Pyne           4   https://letterboxd.com/crusadermatt/film/love-me-2024/
Jordan Raup         4
worm_emoji          4
Lindsay Compton     4
jordan              4
hafsah              3
Monica Castillo     3
David Bax           3
Roland Meier        3
imnicklazo          3
ctsang              2
Jamie Broadnax      2

"Ponyboi" (Esteban Arango) [U.S. Dramatic]
 — Unfolding over the course of Valentine’s Day in New Jersey, a young intersex sex worker must run from the mob after a drug deal goes sideways, forcing him to confront his past. Cast: River Gallo, Dylan O’Brien, Victoria Pedretti, Murray Bartlett, Indya Moore. World Premiere. Available online for Public.

#letterboxd
Letterboxd 10_Ratings	5.67  https://letterboxd.com/film/ponyboi-2024/
mouniema            10
Natalie             10   https://letterboxd.com/gnatcov/film/ponyboi-2024/
Chris Bible         10   https://letterboxd.com/cbibes/film/ponyboi-2024/
cher౨ৎ              10
MarkAnkner          10
Hunter              9
jesse               9   https://letterboxd.com/heyjesseo0h/film/ponyboi-2024/
simplydiana         8   https://letterboxd.com/simplydiana/film/ponyboi-2024/
LeoB16              8   https://letterboxd.com/leob16/film/ponyboi-2024/
kileymahoney        8   https://letterboxd.com/kileymahoney/film/ponyboi-2024/
Rafa Leonard        8   https://letterboxd.com/rafleo21/film/ponyboi-2024/
Eric Hoffman        8
Paola               8   https://letterboxd.com/pmastro/film/ponyboi-2024/
juanjsanchezg       8
hkolbs              8
cameronncole        8
lilydecon           8   https://letterboxd.com/lilydecon/film/ponyboi-2024/
Allanah @Sundance ❤️‍🔥 8   https://letterboxd.com/notsentimental/film/ponyboi-2024/
sofiahalpern        8   https://letterboxd.com/sofiahalpern/film/ponyboi-2024/
izzyck              7   https://letterboxd.com/izzyck/film/ponyboi-2024/
Vivek               7   https://letterboxd.com/vivekk/film/ponyboi-2024/
Tyler Walczak       7
Tayvion             7   https://letterboxd.com/tcarterr2/film/ponyboi-2024/
Johann Rucker       6   https://letterboxd.com/_ruckerish/film/ponyboi-2024/
Amber Jo            6
Nick Mastroluca     6
Adrian              5
ajstellaa           4
James Fahey         4   https://letterboxd.com/doctordopamine/film/ponyboi-2024/

"A Real Pain" (Jesse Eisenberg, US/Poland) [U.S. Dramatic]
 — Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair’s old tensions resurface against the backdrop of their family history. Cast: Jesse Eisenberg, Kieran Culkin, Will Sharpe, Jennifer Grey, Kurt Egyiawan. World Premiere. Available online for Public.

Tim Grierson            https://www.screendaily.com/reviews/a-real-pain-sundance-review/5189652.article
#letterboxd
Letterboxd 5_Ratings	5.00  https://letterboxd.com/film/a-real-pain/
suelue              10
whitofsoph          10   https://letterboxd.com/whitofsoph/film/a-real-pain/
Tracey Walker       10
Natalie Green       10   https://letterboxd.com/natgeowild/film/a-real-pain/
Natalie             10
Caitlin             10   https://letterboxd.com/caitlinclark11/film/a-real-pain/
tjeutje             10   https://letterboxd.com/tjeutje/film/a-real-pain/
femaleromanroy      10
Jamie Broadnax      10
howardfischer       10
SamTheEpic          10
Chloey_G            10
Ronnie Dinnel       9
Darius Ratchford    9   https://letterboxd.com/dratchford/film/a-real-pain/
Mikela Picard       9
lb_ndvj             9
tiffanygf88         9   https://letterboxd.com/tiffanygf88/film/a-real-pain/
Travis Knox         9   https://letterboxd.com/t_knox/film/a-real-pain/
J0shw               9   https://letterboxd.com/j0shw/film/a-real-pain/
Matt Fabelman       9   https://letterboxd.com/mattfabelman/film/a-real-pain/
QueerFilmLovrNY     9
Alex Billington     9
Ethan_J             9
elphabaanne         9
Hudson              8
BrighamTaylor       8
malxonmalx          8   https://letterboxd.com/malxonmalx/film/a-real-pain/
The Lonely Projectionist 8
akerms              8   https://letterboxd.com/akerms/film/a-real-pain/
Kyle                8   https://letterboxd.com/kylypso/film/a-real-pain/
Chase Hutchinson    8   https://letterboxd.com/hutchthegreat/film/a-real-pain/
Hannah Barry        8   https://letterboxd.com/hannahbarry/film/a-real-pain/
Memphis             8
emaham              8
Thomas Passarelli   8   https://letterboxd.com/tnpass/film/a-real-pain/
mel!na              8   https://letterboxd.com/dancingsnail/film/a-real-pain/
Jordan Foxworthy    8
erichmond           8
cristinacova        8
gabi 🇧🇷             8
JackLindsey         8
Marcus Gorman       8   https://letterboxd.com/marcusgorman/film/a-real-pain/
z71cuts             8
Luke D'Agnese       8
hannahsperling      8
laís campos         8
Trase Henricks      7
Mariana Mijares     7
Quinnifer           7
Thomas Lee          7   https://letterboxd.com/tlee4/film/a-real-pain/
antonvk             7
scollins37          7   https://letterboxd.com/scollins37/film/a-real-pain/
Gooner1886          7
Zach                7
